Id,Point
7288,"51.5818,-3.62041"
7289,"52.2321,-3.20104"
7290,"52.6485,-3.59929"
7291,"51.7979,-3.36624"
7294,"52.5225,-3.43004"
7295,"52.5073,-3.17061"
7296,"52.8214,-3.40815"
7297,"52.3801,-3.50089"
7298,"52.6123,-3.41721"
7300,"52.7607,-3.25585"
7301,"52.6572,-3.13312"
7302,"52.5004,-3.6611"
7303,"52.7579,-3.46041"
7305,"51.9423,-5.08222"
7306,"51.9,-3.74854"
7307,"51.9493,-4.59198"
7308,"51.8119,-4.08537"
7310,"51.8877,-3.62289"
7311,"51.9593,-3.05354"
7312,"52.2536,-3.63893"
7314,"52.2461,-4.06683"
7315,"52.9542,-4.44233"
7316,"51.8096,-3.21671"
7318,"51.927,-3.12745"
7321,"52.4283,-3.7013"
7324,"51.4538,-3.44547"
7326,"52.8127,-4.50968"
7327,"52.9943,-3.77355"
7328,"53.0673,-4.01131"
7331,"52.7403,-3.64638"
7332,"52.6793,-3.81257"
7333,"53.0267,-4.12565"
7334,"52.8286,-3.707"
7335,"52.9181,-4.24938"
7336,"53.2641,-4.61317"
7352,"52.7086,-2.98067"
7353,"52.9113,-2.63727"
7355,"52.8423,-2.87188"
7356,"52.4795,-2.97615"
7357,"52.5975,-3.02956"
7358,"52.4244,-3.17258"
7359,"52.8632,-3.12408"
7360,"52.5891,-2.78743"
7361,"52.7179,-2.71676"
7362,"52.2053,-2.57283"
7369,"53.36684,-1.35149"
7371,"54.4203,-2.97855"
7376,"53.4975,-2.50041"
7377,"50.9988,-.14446"
7378,"51.0662,-.15933"
7379,"50.9022,-1.10543"
7380,"51.0004,-.90545"
7381,"51.1542,.88856"
7393,"51.4345,-.35418"
7404,"50.7877,.05998"
7429,"51.3216,1.22779"
7500,"50.9992,-.7872"
7501,"51.0372,-.90031"
7512,"51.1636,-3.61147"
7531,"51.7749,-1.35729"
7532,"51.3881,-1.53015"
7537,"51.6172,-1.116"
7539,"51.7494,-1.27233"
7541,"51.3965,-.54098"
